PERIODO,CVE_ENT,ENTIDAD,CLAVE_INDUSTRIA,INDUSTRIA,VALOR_CONSTANTE,VALOR_CORRIENTE
2003,0,Nacional,PIB,Producto interno bruto,17899317.915,8259533.132000001
2004,0,Nacional,PIB,Producto interno bruto,18537507.51,9248389.777
2005,0,Nacional,PIB,Producto interno bruto,18929250.875000004,9999598.964999998
2006,0,Nacional,PIB,Producto interno bruto,19838803.942,11120115.788
2007,0,Nacional,PIB,Producto interno bruto,20251027.283999994,12046753.144999998
2008,0,Nacional,PIB,Producto interno bruto,20442061.698000006,12927761.291
2009,0,Nacional,PIB,Producto interno bruto,19155182.675,12749117.919999998
2010,0,Nacional,PIB,Producto interno bruto,20107450.915,13968149.507000005
2011,0,Nacional,PIB,Producto interno bruto,20799960.586,15268436.669
2012,0,Nacional,PIB,Producto interno bruto,21539026.999,16529124.039
2013,0,Nacional,PIB,Producto interno bruto,21722561.397,16954005.666
2014,0,Nacional,PIB,Producto interno bruto,22266442.952000003,18137650.624000005
2015,0,Nacional,PIB,Producto interno bruto,22868154.246,19228614.685
2016,0,Nacional,PIB,Producto interno bruto,23273490.765,20758790.518
2017,0,Nacional,PIB,Producto interno bruto,23709107.314,22536210.261000004
2018,0,Nacional,PIB,Producto interno bruto,24176670.379,24176670.380000003
2019,0,Nacional,PIB,Producto interno bruto,24081730.905,25121823.322
2020,0,Nacional,PIB,Producto interno bruto,22069934.772,24086758.147999994
2021,0,Nacional,PIB,Producto interno bruto,23404831.103,26690033.389
2022,0,Nacional,PIB,Producto interno bruto,24273093.489,29525508.629
2023,0,Nacional,PIB,Producto interno bruto,25087101.732,31935812.994000006
2003,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1094725.7809999995,393218.195
2004,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1128153.966,390359.29999999993
2005,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1167183.815,395704.371
2006,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1231318.112,400790.9140000001
2007,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1226031.2459999998,437329.705
2008,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1278244.5540000002,315665.455
2009,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1123812.2500000002,504085.351
2010,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1117820.259,543382.7409999999
2011,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1125335.575,506080.596
2012,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1140752.7950000002,482273.702
2013,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1130864.6759999995,634182.282
2014,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1158660.835,902717.9119999998
2015,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1220760.45,1070730.811
2016,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1248193.4370000002,1258366.98
2017,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1272504.3889999995,1212103.874
2018,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1303024.8339999998,1303024.8339999998
2019,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1308297.938,1429702.173
2020,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1127075.0229999998,1469104.5779999995
2021,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1255235.3269999998,1580612.1259999997
2022,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1333448.4849999994,1419433.3690000006
2023,0,Nacional,D.21-D.31,"Impuestos sobre los productos, netos",1389888.8580000002,1913843.013
2003,0,Nacional,VAB,Valor agregado bruto,16804592.134,7866314.937000001
2004,0,Nacional,VAB,Valor agregado bruto,17409353.544,8858030.477
2005,0,Nacional,VAB,Valor agregado bruto,17762067.060000002,9603894.594
2006,0,Nacional,VAB,Valor agregado bruto,18607485.83,10719324.874
2007,0,Nacional,VAB,Valor agregado bruto,19024996.037999995,11609423.439999998
2008,0,Nacional,VAB,Valor agregado bruto,19163817.144000005,12612095.836
2009,0,Nacional,VAB,Valor agregado bruto,18031370.425,12245032.568999998
2010,0,Nacional,VAB,Valor agregado bruto,18989630.656,13424766.766000004
2011,0,Nacional,VAB,Valor agregado bruto,19674625.011,14762356.073
2012,0,Nacional,VAB,Valor agregado bruto,20398274.204,16046850.337
2013,0,Nacional,VAB,Valor agregado bruto,20591696.721,16319823.384
2014,0,Nacional,VAB,Valor agregado bruto,21107782.117,17234932.712000005
2015,0,Nacional,VAB,Valor agregado bruto,21647393.796,18157883.874
2016,0,Nacional,VAB,Valor agregado bruto,22025297.328,19500423.538
2017,0,Nacional,VAB,Valor agregado bruto,22436602.925,21324106.387
2018,0,Nacional,VAB,Valor agregado bruto,22873645.545,22873645.546000004
2019,0,Nacional,VAB,Valor agregado bruto,22773432.967,23692121.149
2020,0,Nacional,VAB,Valor agregado bruto,20942859.749,22617653.57
2021,0,Nacional,VAB,Valor agregado bruto,22149595.776,25109421.263
2022,0,Nacional,VAB,Valor agregado bruto,22939645.004,28106075.26
2023,0,Nacional,VAB,Valor agregado bruto,23697212.874,30021969.981000006
2003,0,Nacional,1,Actividades primarias,592478.46,264912.581
2004,0,Nacional,1,Actividades primarias,607316.558,294648.794
2005,0,Nacional,1,Actividades primarias,588558.452,294555.42
2006,0,Nacional,1,Actividades primarias,623901.414,327260.022
2007,0,Nacional,1,Actividades primarias,651138.9999999999,366446.043
2008,0,Nacional,1,Actividades primarias,656325.5020000001,391550.72899999993
2009,0,Nacional,1,Actividades primarias,638074.598,395298.952
2010,0,Nacional,1,Actividades primarias,653518.474,431896.3520000001
2011,0,Nacional,1,Actividades primarias,637703.495,454342.086
2012,0,Nacional,1,Actividades primarias,676312.6910000001,503928.2599999999
2013,0,Nacional,1,Actividades primarias,696704.5889999999,512781.1559999999
2014,0,Nacional,1,Actividades primarias,718687.394,549051.441
2015,0,Nacional,1,Actividades primarias,732003.814,593238.5909999999
2016,0,Nacional,1,Actividades primarias,753344.6379999999,673890.3510000001
2017,0,Nacional,1,Actividades primarias,777962.3809999999,743134.179
2018,0,Nacional,1,Actividades primarias,797095.0210000001,797095.0210000001
2019,0,Nacional,1,Actividades primarias,799476.894,832794.5750000001
2020,0,Nacional,1,Actividades primarias,808429.88,893895.4569999999
2021,0,Nacional,1,Actividades primarias,827208.7869999999,1009594.63
2022,0,Nacional,1,Actividades primarias,840161.1930000001,1150923.7269999995
2023,0,Nacional,1,Actividades primarias,830728.2270000001,1225552.7099999995
2003,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",592478.46,264912.581
2004,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",607316.558,294648.794
2005,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",588558.452,294555.42
2006,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",623901.414,327260.022
2007,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",651138.9999999999,366446.043
2008,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",656325.5020000001,391550.72899999993
2009,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",638074.598,395298.952
2010,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",653518.474,431896.3520000001
2011,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",637703.495,454342.086
2012,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",676312.6910000001,503928.2599999999
2013,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",696704.5889999999,512781.1559999999
2014,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",718687.394,549051.441
2015,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",732003.814,593238.5909999999
2016,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",753344.6379999999,673890.3510000001
2017,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",777962.3809999999,743134.179
2018,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",797095.0210000001,797095.0210000001
2019,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",799476.894,832794.5750000001
2020,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",808429.88,893895.4569999999
2021,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",827208.7869999999,1009594.63
2022,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",840161.1930000001,1150923.7269999995
2023,0,Nacional,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",830728.2270000001,1225552.7099999995
2003,0,Nacional,111,Agricultura,355500.33300000004,152075.83399999997
2004,0,Nacional,111,Agricultura,369183.307,170842.54800000004
2005,0,Nacional,111,Agricultura,349988.351,161837.41599999997
2006,0,Nacional,111,Agricultura,378814.687,191119.269
2007,0,Nacional,111,Agricultura,399360.26,227717.684
2008,0,Nacional,111,Agricultura,403941.57900000014,248948.22599999997
2009,0,Nacional,111,Agricultura,381684.33100000006,248843.993
2010,0,Nacional,111,Agricultura,393368.271,275983.616
2011,0,Nacional,111,Agricultura,374888.215,293923.982
2012,0,Nacional,111,Agricultura,409885.01,324183.90799999994
2013,0,Nacional,111,Agricultura,435956.727,319631.678
2014,0,Nacional,111,Agricultura,453886.714,331775.062
2015,0,Nacional,111,Agricultura,461253.37400000007,357448.0029999999
2016,0,Nacional,111,Agricultura,483714.697,428131.1080000001
2017,0,Nacional,111,Agricultura,502630.5819999999,484561.1059999999
2018,0,Nacional,111,Agricultura,516354.555,516354.555
2019,0,Nacional,111,Agricultura,515043.971,538486.7650000001
2020,0,Nacional,111,Agricultura,514807.51199999993,581637.122
2021,0,Nacional,111,Agricultura,528198.9770000001,669199.6680000001
2022,0,Nacional,111,Agricultura,536517.6790000001,777073.7639999999
2023,0,Nacional,111,Agricultura,519806.25600000005,812906.2259999998
2003,0,Nacional,112,Cría y explotación de animales,204213.67,90060.24100000001
2004,0,Nacional,112,Cría y explotación de animales,206493.116,101539.913
2005,0,Nacional,112,Cría y explotación de animales,207329.562,109740.712
2006,0,Nacional,112,Cría y explotación de animales,214096.783,112776.921
2007,0,Nacional,112,Cría y explotación de animales,218313.984,112819.555
2008,0,Nacional,112,Cría y explotación de animales,220156.512,117375.75599999998
2009,0,Nacional,112,Cría y explotación de animales,224744.542,122445.894
2010,0,Nacional,112,Cría y explotación de animales,228008.3880000001,131006.931
2011,0,Nacional,112,Cría y explotación de animales,230945.29,134868.82700000005
2012,0,Nacional,112,Cría y explotación de animales,234097.702,153674.52200000003
2013,0,Nacional,112,Cría y explotación de animales,228484.0849999999,167039.35899999997
2014,0,Nacional,112,Cría y explotación de animales,231559.436,189900.70100000003
2015,0,Nacional,112,Cría y explotación de animales,235181.281,206251.194
2016,0,Nacional,112,Cría y explotación de animales,232400.165,212862.034
2017,0,Nacional,112,Cría y explotación de animales,237117.649,222345.516
2018,0,Nacional,112,Cría y explotación de animales,242533.096,242533.096
2019,0,Nacional,112,Cría y explotación de animales,248050.191,255678.97800000003
2020,0,Nacional,112,Cría y explotación de animales,256152.522,270862.051
2021,0,Nacional,112,Cría y explotación de animales,260707.415,295433.311
2022,0,Nacional,112,Cría y explotación de animales,265220.90800000005,323381.12099999987
2023,0,Nacional,112,Cría y explotación de animales,272098.38700000005,359874.289
2003,0,Nacional,114,"Pesca, caza y captura",6893.918,4323.677000000001
2004,0,Nacional,114,"Pesca, caza y captura",6607.349,4101.912
2005,0,Nacional,114,"Pesca, caza y captura",6951.523999999999,4536.038
2006,0,Nacional,114,"Pesca, caza y captura",6307.490000000001,4138.594
2007,0,Nacional,114,"Pesca, caza y captura",7190.266,4849.311000000001
2008,0,Nacional,114,"Pesca, caza y captura",6861.095,4382.673999999999
2009,0,Nacional,114,"Pesca, caza y captura",6977.216,4458.527
2010,0,Nacional,114,"Pesca, caza y captura",7276.351999999999,4597.384
2011,0,Nacional,114,"Pesca, caza y captura",7341.563,4593.328
2012,0,Nacional,114,"Pesca, caza y captura",7054.111000000001,4523.224999999999
2013,0,Nacional,114,"Pesca, caza y captura",7631.996000000001,5152.867
2014,0,Nacional,114,"Pesca, caza y captura",8353.092,5585.739999999999
2015,0,Nacional,114,"Pesca, caza y captura",10072.683,6827.976999999999
2016,0,Nacional,114,"Pesca, caza y captura",10435.049,7866.708000000001
2017,0,Nacional,114,"Pesca, caza y captura",9744.366,8409.952
2018,0,Nacional,114,"Pesca, caza y captura",9602.664,9602.664
2019,0,Nacional,114,"Pesca, caza y captura",7801.647,9423.389
2020,0,Nacional,114,"Pesca, caza y captura",7299.256999999999,9372.459
2021,0,Nacional,114,"Pesca, caza y captura",8093.383999999999,10489.2
2022,0,Nacional,114,"Pesca, caza y captura",7563.0430000000015,11379.149
2023,0,Nacional,114,"Pesca, caza y captura",7896.798000000001,12323.272
2003,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",25870.539,18452.829
2004,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",25032.786000000004,18164.421
2005,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",24289.015,18441.254000000004
2006,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",24682.454,19225.238
2007,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",26274.489999999994,21059.493
2008,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",25366.316,20844.073000000008
2009,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",24668.509,19550.538000000004
2010,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",24865.463,20308.421
2011,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",24528.42699999999,20955.949
2012,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",25275.867999999995,21546.605000000003
2013,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",24631.781000000003,20957.252000000004
2014,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",24888.151999999995,21789.938
2015,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",25496.476,22711.417
2016,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",26794.727000000003,25030.500999999997
2017,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",28469.784000000003,27817.605
2018,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",28604.705999999995,28604.705999999995
2019,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",28581.085000000003,29205.443
2020,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",30170.589,32023.825
2021,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",30209.010999999995,34472.450999999994
2022,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",30859.563,39089.693
2023,0,Nacional,"113,115","Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales",30926.786,40448.92300000001
2003,0,Nacional,2,Actividades secundarias,6394551.313,2601807.592
2004,0,Nacional,2,Actividades secundarias,6638785.308,3052550.045
2005,0,Nacional,2,Actividades secundarias,6789769.025,3305181.2039999994
2006,0,Nacional,2,Actividades secundarias,7132703.181,3823725.945
2007,0,Nacional,2,Actividades secundarias,7214335.832999999,4098847.763
2008,0,Nacional,2,Actividades secundarias,7153745.822000002,4505074.32
2009,0,Nacional,2,Actividades secundarias,6574555.695999999,4079630.261
2010,0,Nacional,2,Actividades secundarias,6883599.458000001,4545164.187000001
2011,0,Nacional,2,Actividades secundarias,7100147.529,5164258.942
2012,0,Nacional,2,Actividades secundarias,7353430.328,5635826.748
2013,0,Nacional,2,Actividades secundarias,7314690.187,5453811.183
2014,0,Nacional,2,Actividades secundarias,7527294.251,5789094.454
2015,0,Nacional,2,Actividades secundarias,7664315.140999999,5930153.540000001
2016,0,Nacional,2,Actividades secundarias,7686208.15,6355675.593
2017,0,Nacional,2,Actividades secundarias,7734333.207,7202276.380999999
2018,0,Nacional,2,Actividades secundarias,7747139.727,7747139.727
2019,0,Nacional,2,Actividades secundarias,7612259.341,7998360.505999999
2020,0,Nacional,2,Actividades secundarias,6939484.905000001,7466890.304999999
2021,0,Nacional,2,Actividades secundarias,7382228.209000001,8532677.966999998
2022,0,Nacional,2,Actividades secundarias,7733205.023000001,9791789.647000002
2023,0,Nacional,2,Actividades secundarias,8003438.159000002,10412969.578000002
2003,0,Nacional,21,Minería,1269484.2780000002,406555.212
2004,0,Nacional,21,Minería,1291603.669,568954.8609999999
2005,0,Nacional,21,Minería,1298595.3590000002,701964.4309999999
2006,0,Nacional,21,Minería,1288184.4759999998,803347.034
2007,0,Nacional,21,Minería,1273162.0669999998,911657.1239999998
2008,0,Nacional,21,Minería,1214802.507,1052693.16
2009,0,Nacional,21,Minería,1169413.1379999998,782592.2520000001
2010,0,Nacional,21,Minería,1191734.38,956298.438
2011,0,Nacional,21,Minería,1198964.905,1276203.9640000002
2012,0,Nacional,21,Minería,1220716.115,1288603.2940000002
2013,0,Nacional,21,Minería,1220760.4960000005,1150324.884
2014,0,Nacional,21,Minería,1200782.398,1144157.579
2015,0,Nacional,21,Minería,1144886.076,716107.18
2016,0,Nacional,21,Minería,1102587.1530000002,719496.8589999999
2017,0,Nacional,21,Minería,1013837.371,887502.9600000002
2018,0,Nacional,21,Minería,948326.582,948326.582
2019,0,Nacional,21,Minería,897385.93,1041793.219
2020,0,Nacional,21,Minería,893556.6930000002,894526.2029999999
2021,0,Nacional,21,Minería,916472.597,1005808.068
2022,0,Nacional,21,Minería,954107.17,1037060.5510000002
2023,0,Nacional,21,Minería,955259.604,1061208.808
2003,0,Nacional,21-1,Minería petrolera,1102514.5110000002,357642.888
2004,0,Nacional,21-1,Minería petrolera,1118276.466,509867.504
2005,0,Nacional,21-1,Minería petrolera,1111464.833,630324.3459999999
2006,0,Nacional,21-1,Minería petrolera,1103153.8159999996,712480.833
2007,0,Nacional,21-1,Minería petrolera,1070840.852,799768.6499999999
2008,0,Nacional,21-1,Minería petrolera,1019474.483,947954.699
2009,0,Nacional,21-1,Minería petrolera,977530.417,673796.567
2010,0,Nacional,21-1,Minería petrolera,975269.864,812371.496
2011,0,Nacional,21-1,Minería petrolera,963952.523,1080963.032
2012,0,Nacional,21-1,Minería petrolera,962456.909,1076858.535
2013,0,Nacional,21-1,Minería petrolera,949818.361,958298.426
2014,0,Nacional,21-1,Minería petrolera,929432.717,957218.942
2015,0,Nacional,21-1,Minería petrolera,873746.5370000001,522778.3920000001
2016,0,Nacional,21-1,Minería petrolera,820233.4010000001,479283.34
2017,0,Nacional,21-1,Minería petrolera,732050.476,622250.6920000002
2018,0,Nacional,21-1,Minería petrolera,674626.071,674626.071
2019,0,Nacional,21-1,Minería petrolera,633840.4260000001,756779.8020000001
2020,0,Nacional,21-1,Minería petrolera,636151.2010000001,564771.649
2021,0,Nacional,21-1,Minería petrolera,646499.6780000001,606402.328
2022,0,Nacional,21-1,Minería petrolera,675495.7420000001,652629.2370000001
2023,0,Nacional,21-1,Minería petrolera,689024.188,710999.466
2003,0,Nacional,21-2,Minería no petrolera,166969.76700000002,48912.32399999999
2004,0,Nacional,21-2,Minería no petrolera,173327.20300000004,59087.35699999999
2005,0,Nacional,21-2,Minería no petrolera,187130.526,71640.08499999998
2006,0,Nacional,21-2,Minería no petrolera,185030.66000000003,90866.201
2007,0,Nacional,21-2,Minería no petrolera,202321.215,111888.47399999996
2008,0,Nacional,21-2,Minería no petrolera,195328.02400000003,104738.46100000002
2009,0,Nacional,21-2,Minería no petrolera,191882.721,108795.68500000004
2010,0,Nacional,21-2,Minería no petrolera,216464.516,143926.942
2011,0,Nacional,21-2,Minería no petrolera,235012.382,195240.932
2012,0,Nacional,21-2,Minería no petrolera,258259.206,211744.759
2013,0,Nacional,21-2,Minería no petrolera,270942.13500000007,192026.458
2014,0,Nacional,21-2,Minería no petrolera,271349.68100000004,186938.637
2015,0,Nacional,21-2,Minería no petrolera,271139.53900000005,193328.788
2016,0,Nacional,21-2,Minería no petrolera,282353.75200000004,240213.51900000003
2017,0,Nacional,21-2,Minería no petrolera,281786.895,265252.268
2018,0,Nacional,21-2,Minería no petrolera,273700.511,273700.511
2019,0,Nacional,21-2,Minería no petrolera,263545.504,285013.417
2020,0,Nacional,21-2,Minería no petrolera,257405.4920000001,329754.5539999999
2021,0,Nacional,21-2,Minería no petrolera,269972.919,399405.73999999993
2022,0,Nacional,21-2,Minería no petrolera,278611.428,384431.3140000001
2023,0,Nacional,21-2,Minería no petrolera,266235.416,350209.342
2003,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",216956.772,148285.711
2004,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",266460.86100000003,162943.16700000002
2005,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",284907.36400000006,174684.757
2006,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",327420.319,188981.688
2007,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",350086.33199999994,205691.666
2008,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",360350.768,229791.471
2009,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",358037.95599999995,240784.84700000007
2010,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",367932.20600000006,233257.30000000005
2011,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",390907.8610000001,224699.7989999999
2012,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",396321.764,215170.556
2013,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",402739.217,235161.005
2014,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",427125.966,282425.6590000001
2015,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",431924.744,276551.55700000003
2016,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",428609.692,287138.2439999999
2017,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",448388.402,422566.3059999998
2018,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",456907.22300000006,456907.22300000006
2019,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",432839.8619999999,515929.6249999999
2020,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",413494.319,468536.682
2021,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",321356.721,423585.9030000001
2022,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",322410.867,602599.9410000001
2023,0,Nacional,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",314511.8340000001,682972.9029999999
2003,0,Nacional,23,Construcción,1075069.3270000005,491856.3510000001
2004,0,Nacional,23,Construcción,1151415.252,577731.195
2005,0,Nacional,23,Construcción,1190174.822,620896.5649999998
2006,0,Nacional,23,Construcción,1296150.1890000002,718683.0979999999
2007,0,Nacional,23,Construcción,1356302.0379999997,781475.6329999997
2008,0,Nacional,23,Construcción,1410707.0010000004,872980.2250000003
2009,0,Nacional,23,Construcción,1312387.1609999996,833674.1070000001
2010,0,Nacional,23,Construcción,1310249.341,863940.0759999999
2011,0,Nacional,23,Construcción,1363009.971,957729.261
2012,0,Nacional,23,Construcción,1389656.8149999997,1024571.712
2013,0,Nacional,23,Construcción,1364618.697,999173.926
2014,0,Nacional,23,Construcción,1400993.498,1056213.0769999998
2015,0,Nacional,23,Construcción,1434503.914,1125725.4850000003
2016,0,Nacional,23,Construcción,1459717.744,1224522.935
2017,0,Nacional,23,Construcción,1456289.2859999998,1348496.413
2018,0,Nacional,23,Construcción,1460789.525,1460789.525
2019,0,Nacional,23,Construcción,1403102.976,1444471.17
2020,0,Nacional,23,Construcción,1154295.549,1242090.2589999998
2021,0,Nacional,23,Construcción,1273794.7920000006,1542192.4479999996
2022,0,Nacional,23,Construcción,1312765.5550000002,1808139.536
2023,0,Nacional,23,Construcción,1517134.0529999998,2148126.415
2003,0,Nacional,31-33,Industrias manufactureras,3833040.936,1555110.318
2004,0,Nacional,31-33,Industrias manufactureras,3929305.526,1742920.8220000004
2005,0,Nacional,31-33,Industrias manufactureras,4016091.48,1807635.451
2006,0,Nacional,31-33,Industrias manufactureras,4220948.197,2112714.125
2007,0,Nacional,31-33,Industrias manufactureras,4234785.396,2200023.3400000003
2008,0,Nacional,31-33,Industrias manufactureras,4167885.546000001,2349609.464
2009,0,Nacional,31-33,Industrias manufactureras,3734717.441,2222579.055
2010,0,Nacional,31-33,Industrias manufactureras,4013683.531,2491668.3730000006
2011,0,Nacional,31-33,Industrias manufactureras,4147264.792,2705625.918
2012,0,Nacional,31-33,Industrias manufactureras,4346735.634,3107481.186
2013,0,Nacional,31-33,Industrias manufactureras,4326571.777,3069151.368
2014,0,Nacional,31-33,Industrias manufactureras,4498392.389,3306298.139000001
2015,0,Nacional,31-33,Industrias manufactureras,4653000.406999999,3811769.318
2016,0,Nacional,31-33,Industrias manufactureras,4695293.561,4124517.555
2017,0,Nacional,31-33,Industrias manufactureras,4815818.148,4543710.702
2018,0,Nacional,31-33,Industrias manufactureras,4881116.397,4881116.397
2019,0,Nacional,31-33,Industrias manufactureras,4878930.573,4996166.492
2020,0,Nacional,31-33,Industrias manufactureras,4478138.344000001,4861737.160999999
2021,0,Nacional,31-33,Industrias manufactureras,4870604.099,5561091.547999999
2022,0,Nacional,31-33,Industrias manufactureras,5143921.431000001,6343989.619000001
2023,0,Nacional,31-33,Industrias manufactureras,5216532.668000001,6520661.4520000005
2003,0,Nacional,311,Industria alimentaria,678682.6879999998,297584.3890000001
2004,0,Nacional,311,Industria alimentaria,698070.7309999999,328786.0360000001
