Entidad,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guanajuato,368213095000.0,405438439000.0,405843987000.0,386976711000.0,401802461000.0,411054671000.0,395223704000.0,404826527000.0,410582652000.0,426219870000.0,449866898000.0,467278457000.0,482646440000.0,496878472000.0,515053908000.0,498677804000.0,529479375999.99994,563561208000.0,609251753000.0,617668996000.0,653601345999.9999,657506762000.0,687741364000.0,708927872000.0,728133105000.0,731639285000.0,769496262999.9999,778043648000.0,798104409999.9999,761825926999.9999,812725516000.0,854766200000.0,892378879000.0,931176500000.0,978988664000.0,1026150188000.0,1064742519000.0001,1115370824000.0,1120602843999.9998,1099063445000.0001,1019446377000.0,1084518132999.9999,1110918710000.0,1128468281000.0002
Guerrero,193774993000.0,203265673000.0,204231274000.0,201102472000.0,205097447000.0,207963999000.0,205355227000.0,208160520000.0,210190995000.0,214534793000.0,221373566000.0,226957173000.0,231080660000.0,231366829000.0,244535125000.0,228791872000.0,233979235000.0,241019011000.0,252375140000.0,254395831000.0,256193563000.0,258793422000.0,256700551000.0,254042539999.99994,265397240000.0,272647210000.00003,280082837000.0,287333395999.99994,288164177000.0,282203096999.99994,290708028000.0,291758339000.00006,294551278000.0,299721333000.00006,320203667000.00006,314103694999.99994,313422060000.00006,308568037000.0,317844942000.00006,317146825000.0,289968160000.0,303633381000.0,310105899000.0,313074749999.99994
Hidalgo,211376521000.0,231728335000.0,231940424000.0,219671138000.0,227993872000.0,234155256000.0,225346551000.0,231205142000.0,235179785000.0,243977914000.0,258198406000.0,269826384000.00003,282923737000.0,291315292000.0,297707217000.0,255701636000.0,286643929000.0,297456743000.0,330896628000.0,332950914000.0,337331454000.0,334079072000.0,331453157000.0,331525317000.0,357756180000.00006,353466254000.0,349080409000.0,359175954000.0,370254812000.0,354594237000.0,358637296000.00006,366544301000.0,379811021000.0,379719808000.0,397901378000.0,413909179000.00006,418466270000.0,416408562000.0,418630444000.0,409266416000.0,364939794000.00006,391962041000.0,431251882000.0,441422255000.0
Jalisco,770276620000.0,842629980999.9999,842329338999.9999,803836743000.0,831613821000.0,848102532000.0,816419424000.0,833612505000.0,843957151000.0001,872756704000.0,915367582000.0,947456149000.0,976925373000.0,1001233106000.0,1031966723000.0,952802192000.0,999054070000.0,1073517830000.0001,1160210854000.0,1202945427000.0,1259069606000.0,1237977396000.0,1224880475000.0,1212171197000.0,1246901390000.0,1274855822000.0,1340006101000.0005,1380125917000.0,1408019743000.0,1315481838000.0,1393675357000.0,1433185382000.0,1488616797000.0005,1514072596999.9998,1567647173000.0002,1626750813000.0002,1676418735999.9998,1708140018000.0,1754179510000.0002,1767123319000.0,1624208871000.0,1712483099000.0,1797547062999.9998,1849411733000.0
Estado de México,937705105000.0,1021972175000.0,1020962549000.0,975680885000.0,1005942034000.0,1019987938000.0,979495371000.0,995129263000.0,1005115817000.0,1039567689000.0,1090095097000.0001,1131899307000.0,1168758364000.0,1201586797000.0,1239027570000.0,1148484717000.0,1241792142000.0,1349872395000.0,1429362561000.0,1477235691999.9998,1560108787000.0,1571190184000.0,1538761634999.9998,1533475170999.9995,1567254003000.0,1617553740000.0,1710985648000.0,1755709482000.0002,1766743793000.0002,1656805177000.0,1773209581000.0,1852646107000.0,1911401717000.0,1923371618999.9998,1966749107000.0,2007571850000.0,2058752802000.0,2166131837000.0002,2243797970000.0,2209647064000.0,2035392322000.0,2163537857000.0002,2218452727000.0,2269428809000.0
Michoacán,260181052000.0,279519429000.0,282663393000.00006,277660716999.99994,287279898000.0,294893038000.0,291491817000.0,299033717000.0,304548069000.0,313917509000.0,326993653000.0,336933925000.0,344014905000.0,342922975000.00006,364984886000.0,357772256000.00006,372008218000.0,412081048000.0,418543917000.0,443564154000.0,451793037000.0,440699835000.0,434174053000.0,448524814000.0,459993952000.0,461303856999.9999,485161704000.0,499362052000.0,511751728000.0,491327010000.0,502494794000.0001,522286563000.00006,531827400999.99994,533525806000.0001,560341417000.0,573505865000.0,591409519000.0,610394385000.0,633756559000.0,635628201000.0001,601188661000.0,629066207000.0,652066839000.0,678519161000.0
Morelos,130212646000.0,140542558000.00003,140692478000.0,135296829999.99998,139636052000.0,142764341000.0,139069037000.0,142350990000.0,144824194000.0,149798346000.00003,156870667000.00003,161946756000.00003,166653194999.99997,173068497000.0,176584993000.00003,157617989000.0,166374385000.0,177536742000.0,193594149000.0,202707277000.0,206506907000.0,214338523000.0,208522438000.0,217613142000.0,224157810000.0,235326288000.0,232043608000.0,237033906999.99994,231184487000.0,222778287000.0,232495234000.00003,241158470000.0,248100471000.0,258139365000.0,259665781999.99994,265750876000.0,274364869000.0,277402793000.0,273244597000.0,269686001000.00006,244988806000.0,259938545000.0,260119463000.0,265778529000.00003
Nayarit,78660796000.0,85476368000.0,85672900000.00002,83101881000.0,85770444000.0,87404625999.99998,84854899000.0,86636841000.0,87659175999.99998,90779724000.0,96157214000.0,100823095000.0,105565162000.0,109103474000.0,112712606000.0,98045993000.0,99798378000.0,101315849000.0,111041348000.0,114192153000.0,115655771000.0,119642886000.0,116345763000.0,112071423000.0,128877880000.0,135701451999.99998,135896555999.99998,133768031000.00002,143531322000.0,134902594000.00002,137487191000.00003,141214937000.0,142897855000.0,145073201000.0,145894417999.99997,147428811000.00003,152585941000.0,155110355000.0,155757537999.99997,157163252999.99997,142605244000.0,155968659000.0,162601045000.0,162761440000.0
Nuevo León,617991080000.0001,688550973000.0,689748595999.9999,650982132999.9999,680103575000.0,697456760000.0,665305117000.0,683097919999.9999,694487691999.9999,725048317000.0,769293924000.0,803906220999.9999,838399236000.0,870417876000.0,916740227000.0,853356799999.9999,906779122000.0,993197623000.0,1077062017000.0,1137219584000.0,1212180744000.0002,1213057555000.0,1238800332000.0,1289662121999.9995,1335507839000.0002,1368861990999.9998,1469583898000.0005,1532409515000.0,1531655039999.9998,1411038651999.9998,1509564271000.0002,1558834995000.0,1621930271000.0002,1611568788000.0002,1666974701000.0002,1728163992000.0,1743960883000.0,1809343556000.0,1909026435000.0,1918825006000.0,1743165623000.0,1865875274000.0,1928658429000.0,1995895417000.0
Oaxaca,244741172000.0,262007269000.0,262454683000.00003,254205730000.0,261329743000.0,266421896000.0,260431738000.0,265500815000.0,268784772000.0,276217638000.0,288209053000.0,297421954000.0,307185322000.0,313397486000.0,344896493000.0,306954506000.0,319534739000.0,327015680000.0,334657797000.0,343293948000.00006,355730604000.0,358564555000.0,362128852000.0,362456150000.0,369439028000.0,376461041000.00006,380271447000.0,378474410000.00006,388520309000.0,385689529000.0001,379991321000.00006,385968000000.00006,386537700000.0,397816027000.0,395065139000.0,401404011000.0,399767902999.99994,358236419000.0,383159646000.0,367363646000.0,350911405000.0,385418058000.0,415502711000.0,446836295000.0
