PERIODO,TIPO_CAMBIO
1991-01-01,0
1991-02-01,0
1991-03-01,0
1991-04-01,0
1991-05-01,0
1991-06-01,0
1991-07-01,0
1991-08-01,0
1991-09-01,0
1991-10-01,0
1991-11-01,3.0698
1991-12-01,3.07
1992-01-01,3.0685
1992-02-01,3.0636
1992-03-01,3.0664
1992-04-01,3.068
1992-05-01,3.098
1992-06-01,3.1185
1992-07-01,3.1165
1992-08-01,3.0913
1992-09-01,3.0862
1992-10-01,3.1185
1992-11-01,3.1198
1992-12-01,3.1182
1993-01-01,3.11
1993-02-01,3.0989
1993-03-01,3.1083
1993-04-01,3.0955
1993-05-01,3.1227
1993-06-01,3.1213
1993-07-01,3.1236
1993-08-01,3.1126
1993-09-01,3.1127
1993-10-01,3.1142
1993-11-01,3.1553
1993-12-01,3.1077
1994-01-01,3.1075
1994-02-01,3.1115
1994-03-01,3.2841
1994-04-01,3.3536
1994-05-01,3.312
1994-06-01,3.3607
1994-07-01,3.4009
1994-08-01,3.3821
1994-09-01,3.3998
1994-10-01,3.4158
1994-11-01,3.4426
1994-12-01,3.9308
1995-01-01,5.5133
1995-02-01,5.6854
1995-03-01,6.7019
1995-04-01,6.2996
1995-05-01,5.9627
1995-06-01,6.2232
1995-07-01,6.1394
1995-08-01,6.1909
1995-09-01,6.3025
1995-10-01,6.6911
1995-11-01,7.6584
1995-12-01,7.6597
1996-01-01,7.476
1996-02-01,7.524
1996-03-01,7.5687
1996-04-01,7.4617
1996-05-01,7.4326
1996-06-01,7.5604
1996-07-01,7.6206
1996-08-01,7.5115
1996-09-01,7.544
1996-10-01,7.7263
1996-11-01,7.906
1996-12-01,7.872
1997-01-01,7.8271
1997-02-01,7.8003
1997-03-01,7.9647
1997-04-01,7.9074
1997-05-01,7.9006
1997-06-01,7.9502
1997-07-01,7.8733
1997-08-01,7.7828
1997-09-01,7.7805
1997-10-01,7.8603
1997-11-01,8.2689
1997-12-01,8.1219
1998-01-01,8.2177
1998-02-01,8.5014
1998-03-01,8.5676
1998-04-01,8.4965
1998-05-01,8.5934
1998-06-01,8.9131
1998-07-01,8.896
1998-08-01,9.3633
1998-09-01,10.2307
1998-10-01,10.1536
1998-11-01,9.9682
1998-12-01,9.9057
1999-01-01,10.1351
1999-02-01,9.9939
1999-03-01,9.7316
1999-04-01,9.4185
1999-05-01,9.4105
1999-06-01,9.5139
1999-07-01,9.3657
1999-08-01,9.3966
1999-09-01,9.3358
1999-10-01,9.5667
1999-11-01,9.3988
1999-12-01,9.4249
2000-01-01,9.4878
2000-02-01,9.4252
2000-03-01,9.2876
2000-04-01,9.3903
2000-05-01,9.5158
2000-06-01,9.8295
2000-07-01,9.4212
