País,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023
Líbano,0.042393,0.034768,0.035978,0.021788,0.024712,0.065198,0.070723,0.088811,0.160595,0.05523,0.065194,0.061108,0.055408,0.048706,0.067137,0.057066,0.060397,0.04463,0.041057,0.063362,0.064762,0.061833,0.056779,0.065699,0.048222,0.050727,0.046244,0.044269,0.069284,0.045823,0.038961,0.094113,0.144608,0.070911,0.050877,0.068264,0.034687,0.035054,0.034967,0.042964,0.051401
Liberia,0.001505,0.002327,0.001696,0.009053,0.000243,0.006793,0.004477,0.003089,0.003527,0.000045,0.001867,0.002849,0.001824,0.002848,0.00062,0.000491,0.005882,0.000879,0.00035,0.000367,0,0,0.000854,0.001377,0.001344,0,0.000121,0,0.00013,0.000013,0.001209,0,0,0,0,0.000625,0,0,0,0,0.001569
Libia,0.009233,0.002298,0.006009,0.001837,0.000439,0.004435,0.002116,0.001021,0,0,0,0.001185,0,0,0,0,0,0,0,0,0.000827,0,0,0,0,0.000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,0.005089,0.003857,0,0,0,0,0,0,0,0,0,0.001855,0,0,0.000458,0,0,0.002266,0.010979,0.005221,0,0,0.000181,0,0.000084,0,0,0,0.003669,0,0,0.003154,0.000814,0,0,0,0.000393,0,0.000034,0.000186,0
Lituania,0.000087,0.003431,0.000437,0.000671,0.001288,0,0,0.003487,0.000288,0.000567,0.000311,0.001149,0.000435,0.000213,0,0.000457,0.000082,0.000205,0.001165,0.000326,0.000286,0.000314,0.000952,0.000162,0.000312,0.000991,0.001188,0.000735,0.000854,0.000798,0.000709,0.000478,0.001012,0.001523,0.004107,0.001696,0.00182,0.00268,0.001553,0.0026,0.004115
Luxemburgo,0.014286,0.016981,0.011106,0.025678,0.033325,0.032212,0.018183,0.01322,0.117783,0.00743,0.0057,0.004229,0.008326,0.00303,0.002433,0.005103,0.002636,0.006579,0.009207,0.007091,0.008465,0.007366,0.006976,0.006376,0.011653,0.007066,0.008649,0.007565,0.006772,0.005049,0.00854,0.005952,0.00472,0.007385,0.009323,0.007885,0.022607,0.012576,0.011163,0.015624,0.010947
Macao,0,0,0.000051,0,0.000153,0.001176,0,0.000646,0.001008,0.000066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002225,0.001325,0,0.001798,0,0,0,0.003839,0.003366,0,0,0,0,0,0,0,0,0
Macedonia,0.00284,0.007208,0.014052,0.022039,0.001054,0.000525,0.000877,0,0.02238,0.000108,0.002787,0.004034,0.001472,0.004732,0.005518,0.005216,0.008355,0.002356,0.004787,0.007987,0.002459,0.002783,0.002898,0,0.000799,0.003257,0.006538,0.007994,0,0.000181,0.002445,0.000528,0.001412,0.001885,0.000587,0.000323,0.000927,0.000876,0.002354,0.001065,0.001443
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001978,0.000032,0,0,0,0,0,0,0.000008,0,0,0,0,0,0,0,0,0.000024,0.000226
Malasia,0.012631,0.021459,0.023778,0.012779,0.006242,0.007623,0.017233,0.023039,0.00968,0.008921,0.005049,0.005607,0.003506,0.003319,0.003488,0.006421,0.009479,0.004926,0.004689,0.008822,0.006349,0.006192,0.014451,0.007775,0.00231,0.002668,0.004745,0.009131,0.004187,0.000682,0.002105,0.001242,0.001754,0.001315,0.002472,0.005115,0.001933,0.007653,0.005279,0.004326,0.002426
Malawi,0,0,0,0,0,0,0,0.003923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389,0.000654,0.000442,0,0,0,0.00001,0.000064,0,0,0,0.000025
Maldivas,0.007227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001963,0,0,0.00039,0.003037,0.001246,0.001016,0.002373,0.001003,0.000533,0.000681,0.002134,0.003125,0,0,0.000731,0.001854,0.00132,0,0.002562,0.002003,0.001152,0,0.000224,0
Malí,0.010396,0.016758,0.011725,0.012202,0.011878,0.006263,0.004561,0.006096,0.022072,0.001028,0.001443,0.000626,0.002937,0.002276,0.002342,0.002063,0.001156,0.001738,0.002122,0.001935,0.000715,0.000739,0.000858,0.000947,0.001462,0.001805,0.001354,0.00317,0.008035,0.000359,0.001212,0.00264,0.008561,0.000088,0.015148,0.029285,0.000087,0.005687,0.007814,0.009237,0.020493
Malta,0.000102,0,0,0.002002,0.001851,0.005481,0.004802,0.004762,0.004227,0.003072,0.005246,0.002377,0.003234,0.00239,0.001544,0.00505,0.00597,0.00608,0.002528,0.005591,0.011013,0.001292,0.000473,0.000665,0,0.001692,0.000791,0.000703,0.0002,0,0,0,0,0,0.000405,0,0,0.000256,0.000923,0.000168,0
Marianas del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marruecos,0,0,0,0,0,0,0,0,0.001023,0,0,0,0.002235,0.000082,0.000262,0.000657,0.000614,0,0.00005,0,0.000864,0.000303,0,0.002022,0.000648,0.000771,0.002508,0.002928,0.005416,0.004257,0.010902,0.006271,0.008736,0.010288,0.018076,0.013002,0.013609,0.007024,0.008627,0.004719,0.006573
Martinica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000026,0,0.00013,0.000124,0.000069,0.000107,0.002954,0.002693,0.00171,0.001668,0.001688,0.00082,0.000953,0.004975,0.015333,0.007991,0.005271,0.003921,0.00591,0.00768,0.011516
Mauricio,0.000123,0.001197,0.001312,0.000996,0.000983,0.003097,0.003419,0.003425,0.007507,0.000148,0.000463,0,0.000461,0.000717,0.002361,0.000773,0.00014,0.002097,0.000811,0.000795,0.001383,0.000309,0.000233,0.002199,0.000702,0.007172,0.001353,0.001457,0.00032,0.000214,0.00016,0.000046,0,0.000067,0.001032,0.000105,0,0.000012,0.000132,0.000046,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191,0.00018,0.000037,0.000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554
Moldavia,0.000234,0.001144,0,0,0,0.00015,0.008387,0.000517,0.041136,0.000006,0.000129,0.000873,0.000368,0.00068,0.000893,0.000733,0.000045,0.000741,0.000913,0.000731,0.00013,0.000219,0.000313,0.001906,0.000784,0.000535,0.00039,0.001325,0.002099,0.000195,0.000862,0.00098,0.004786,0.000387,0.00275,0.000972,0.000013,0.000727,0.0009,0.002199,0.001283
Mónaco,0,0,0,0,0,0,0,0.000234,0,0.000265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0.000115,0.001955,0,0.003932,0.00044,0.001775,0.00092,0.00017,0.001476,0.000038,0.000895,0.000295,0.000034,0.000035,0.000036,0.000068,0.000056,0.000035,0.00128,0.000353,0.001097,0.000864,0.00076,0.000049,0.00021,0.000434,0.000954,0.000859,0.000201,0.000272,0.000416,0.00146,0.007186,0.002848,0.000218,0.002628,0.001147,0.007663,0.002135,0.002021
Montenegro,0,0,0,0,0,0,0,0,0,0,0.000162,0,0,0,0,0,0,0.000101,0.00088,0.00124,0,0.001598,0.00112,0.00064,0.001678,0.002031,0.004271,0.0008,0.001191,0.000485,0.002284,0.000531,0,0.00065,0.000236,0.00018,0.000598,0.00564,0.006095,0,0.000264
Montserrat,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0.000152,0,0,0,0,0,0,0,0,0,0,0.000043,0,0,0,0,0.001091,0,0,0,0.000111,0.000104,0.000026,0.000025,0,0,0,0
Mozambique,0.00281,0.001091,0.001154,0.001064,0.002836,0.002495,0.014738,0.009924,0.012772,0.001848,0.001799,0.002777,0.001469,0.003703,0.001274,0.00153,0.000683,0.001891,0.000529,0.006341,0.000349,0.000663,0.000364,0.00101,0.001875,0.002619,0.001516,0.004987,0.000816,0.001062,0.000069,0.001772,0.002385,0.000567,0.003466,0.006249,0.004244,0.007632,0.005253,0.008317,0.005024
"Myanmar, Birmania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277,0,0.000644,0.003073,0,0.000311,0.000982,0.001358,0.001203,0.003731,0.003035,0,0,0,0,0,0,0,0,0
Namibia,0,0.001167,0,0.000496,0,0.001138,0.001135,0.000358,0.002379,0,0.00004,0.001188,0.00377,0.001809,0.002869,0,0,0.000003,0,0.00004,0,0,0.000081,0,0.001323,0.000076,0.000132,0.001195,0.000145,0,0.000063,0.000483,0,0,0,0,0.000119,0.000168,0.000531,0.004869,0.00025
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0.395312,0.572686,0.464075,0.39801,0.500092,0.380104,0.325888,0.244188,0.433232,1.396726,1.414512,1.526124,1.325446,1.786848,1.832905,1.328114,1.216787,1.240262,1.407463,1.632511,1.558605,1.453962,4.444094,5.641409,2.119096,2.328183,2.214147,2.880188,3.388539,1.635943,1.772085,2.637151,2.850352,4.40876,7.852172,9.914202,15.750473,25.576883,15.939708,34.244536,5.169367
Niger,0,0,0,0,0,0.001067,0,0.001195,0,0,0,0,0.000484,0.000006,0.000874,0.000007,0.000075,0.000034,0.000006,0.000007,0,0,0.000136,0,0,0.000099,0.000043,0,0,0,0.000006,0.001153,0,0,0,0,0,0,0,0,0.000141
Nigeria,0.000774,0,0.00164,0,0,0,0,0.007041,0.023543,0.008175,0.023991,0.032013,0.004809,0.006319,0.006952,0.009044,0.003745,0.00781,0.015991,0.011684,0.006689,0.010491,0.011228,0.007614,0.004082,0.003777,0.012532,0.004774,0.005606,0.002478,0,0,0,0,0.000009,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noruega,0.063426,0.056356,0.05126,0.046119,0.029269,0.023721,0.052445,0.018851,0.056681,0.013776,0.019046,0.018058,0.017427,0.029319,0.030534,0.025861,0.0298,0.024152,0.025156,0.026185,0.022839,0.018477,0.024058,0.02388,0.023483,0.024901,0.029573,0.022819,0.022214,0.029277,0.027474,0.0346,0.035897,0.034007,0.055799,0.040922,0.039956,0.055052,0.050607,0.078767,0.075036
Nueva Caledonia,0.001837,0,0,0,0,0,0,0,0,0,0,0.000359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nueva Zelanda,0.016622,0.026686,0.015339,0.009685,0.018702,0.022601,0.021623,0.02828,0.059603,0.010063,0.019095,0.012366,0.00838,0.009452,0.015565,0.012806,0.013063,0.00868,0.022619,0.027021,0.035585,0.029616,0.019203,0.043241,0.017109,0.008617,0.011639,0.012975,0.011922,0.010935,0.088701,0.019625,0.019533,0.024104,0.031331,0.046593,0.030719,0.041393,0.030855,0.044162,0.051057
Omán,0.003474,0.013831,0.003279,0.012498,0.03146,0.04296,0.040473,0.024705,0.061611,0.023242,0.0339,0.031276,0.011506,0.02146,0.011506,0.016815,0.00998,0.004079,0.006726,0.009472,0.010666,0.014389,0.020569,0.019986,0.018485,0.020456,0.02973,0.029486,0.023728,0.017217,0.02104,0.020351,0.02365,0.016168,0.010954,0.018575,0.018014,0.026165,0.022121,0.022753,0.02161
Países Bajos,0.194028,0.30193,0.227025,0.258386,0.196732,0.256076,0.176463,0.186688,0.372899,1.076543,0.936277,1.071967,0.795785,1.089714,0.93717,0.923165,0.89165,1.263418,1.322194,1.499212,2.051912,1.394488,1.938257,2.450533,1.984251,1.600031,1.798563,2.139741,1.862212,1.752989,1.84743,1.884142,1.79411,1.98074,2.001688,2.238275,1.710498,1.703353,1.038486,1.201892,1.12816
Pakistán,0.003964,0.006453,0.014312,0.012612,0.030296,0.024371,0.019603,0.018223,0.071066,0.032133,0.019053,0.014022,0.031566,0.026233,0.032696,0.02988,0.02096,0.020392,0.022896,0.017579,0.013608,0.015466,0.013636,0.009214,0.004212,0.006323,0.005512,0.005326,0.004271,0.006867,0.002954,0.002812,0.003809,0.020051,0.023672,0.023385,0.017185,0.021616,0.016582,0.043489,0.015984
Palaos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0,0,0,0,0,0,0,0.000296,0,0,0,0,0,0,0
Palestina,0.000989,0.00336,0.000871,0.002624,0.002765,0.005211,0.000249,0.000616,0.004002,0.001171,0.000196,0,0.00203,0.000213,0.009847,0.007225,0.006973,0.013119,0.004925,0.006714,0.013765,0.005822,0.003707,0.001851,0.002623,0.003314,0.011686,0.001753,0.005414,0.001562,0.002675,0.001285,0.00081,0.000516,0.003526,0.003379,0.000606,0.000365,0.000112,0.001532,0.000729
Panamá,1.023804,1.10933,0.951065,0.746902,0.682918,0.72737,0.659774,0.59293,1.395589,4.175816,4.592867,4.932203,5.000749,5.426482,4.972596,5.151975,5.364583,5.767662,7.198236,7.82563,7.005808,7.084044,8.153347,8.725405,9.109107,9.506119,9.676787,10.130105,8.627558,5.130199,6.666904,8.195696,7.622926,9.152673,11.28085,12.847699,10.802312,13.032192,7.216791,7.430027,5.784705
Papúa-Nueva Guinea,0.000157,0,0,0.000467,0,0,0,0.000082,0,0,0.000038,0,0.000031,0.000023,0,0,0.000452,0.001101,0.001183,0.003703,0.003315,0.002959,0.001585,0.001806,0.002901,0.002249,0.000521,0.000958,0.001614,0.000035,0.003079,0,0.000121,0.001387,0,0,0,0,0,0,0
Paraguay,0.139074,0.181248,0.219836,0.210901,0.152258,0.15763,0.1594,0.09878,0.32125,0.063002,0.051103,0.076842,0.04393,0.039787,0.050376,0.047263,0.066918,0.069312,0.070786,0.080346,0.080992,0.092655,0.071959,0.094319,0.078144,0.079919,0.069169,0.064414,0.065376,0.059453,0.081426,0.074316,0.065709,0.065771,0.074535,0.06715,0.067886,0.056671,0.072836,0.079386,0.084081
Perú,0.997524,1.153201,1.096653,1.052877,0.881572,0.932676,0.986673,1.101549,2.603631,3.508135,3.743847,4.009447,3.4568,4.249593,3.906008,4.321725,4.135947,4.934201,5.388446,6.662704,6.704098,5.989488,8.450811,9.41705,9.400404,9.872049,10.745573,11.744958,9.684583,6.483849,10.641772,12.563534,12.852052,14.731767,18.756351,21.501856,20.571202,33.392164,22.000269,22.184377,17.216865
Polinesia Francesa,0.002926,0.001259,0,0,0,0,0,0.000999,0,0.000204,0,0,0,0,0.000565,0,0,0,0,0.001316,0.007911,0.00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polonia,0.025626,0.053598,0.02476,0.004596,0.010577,0.004734,0.003224,0.006652,0.005789,0.002087,0.008586,0.016513,0.015438,0.025874,0.018579,0.021969,0.016133,0.024025,0.034262,0.035627,0.030807,0.045065,0.028049,0.012272,0.019257,0.01095,0.011456,0.010294,0.009808,0.013691,0.02227,0.021742,0.01374,0.017035,0.02972,0.040725,0.022041,0.023196,0.03387,0.034337,0.0386
Portugal,0.179285,0.48983,0.291474,0.121742,0.354755,0.150929,0.095775,0.129913,0.459862,0.057609,0.064705,0.076286,0.064141,0.030899,0.041041,0.028545,0.038321,0.025398,0.051673,0.052758,0.052716,0.095051,0.046598,0.066851,0.046889,0.044792,0.059454,0.053576,0.047995,0.041688,0.03786,0.056041,0.03922,0.072906,0.065825,0.065072,0.067314,0.129359,0.074936,0.093791,0.127209
Qatar,0.030383,0.038513,0.042022,0.083337,0.056309,0.0653,0.066474,0.041833,0.054158,0.014579,0.018417,0.026883,0.042492,0.052519,0.093446,0.079912,0.100933,0.072657,0.056212,0.049901,0.036787,0.046237,0.05163,0.043735,0.045876,0.029472,0.0356,0.046089,0.029452,0.027043,0.021204,0.030417,0.035319,0.044176,0.027365,0.025639,0.037629,0.034561,0.056114,0.05687,0.06131
Reino de Lesoto,0,0,0,0,0,0,0,0,0,0,0.000219,0.00011,0.000185,0.000081,0.000222,0.000089,0.000094,0.00009,0.00015,0,0.000698,0.000185,0,0.000029,0.000171,0.000098,0.000426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reino Unido,1.025622,1.713276,1.087994,1.331818,1.404973,1.579674,1.245008,1.997297,3.331623,3.850412,4.85709,4.448562,3.797891,3.702152,3.601766,3.88161,3.623051,20.748535,45.130007,31.074176,38.775299,52.371051,57.047716,32.928083,32.940334,38.071987,35.368021,34.197008,27.178613,31.560971,34.188564,31.01685,28.305285,32.869133,28.712195,35.370862,37.708066,37.315932,32.372177,27.085245,24.869195
República Centroafricana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
República Checa,0.014764,0.016412,0.019363,0.005425,0.019286,0.008149,0.002828,0.028696,0.019585,0.005489,0.009388,0.023663,0.000306,0.006608,0.002697,0.00358,0.001619,0.003728,0.008017,0.005033,0.00516,0.011487,0.011652,0.00848,0.008578,0.015495,0.015683,0.012887,0.009438,0.007133,0.007748,0.009625,0.011883,0.039515,0.010344,0.004277,0.017525,0.007067,0.007993,0.004811,0.008212
República de Abjasia,0,0,0,0,0.000146,0.000729,0,0.00042,0.001644,0.000429,0.000428,0,0.000626,0.000645,0.002631,0.003197,0.002856,0.001823,0.000747,0.001299,0.00481,0.000354,0.001393,0.000242,0.004076,0,0.000438,0.002177,0.000097,0,0.000512,0.001861,0,0,0.001027,0.001814,0.000531,0.006127,0.005887,0.017102,0.013734
República del Congo,0.009144,0.017432,0.016811,0.010063,0.020573,0.02113,0.028999,0.03106,0.029955,0.026182,0.002123,0.00397,0.005859,0.008035,0.013184,0.010277,0.009863,0.015234,0.017428,0.016051,0.012321,0.003994,0.0044,0.006549,0.007349,0.005426,0.0085,0.009262,0.019605,0.004144,0.006342,0.019835,0.01671,0.010498,0.012598,0.004163,0.017347,0.006369,0.01931,0.013544,0.014217
República Democrática del Congo,0,0,0,0,0,0,0,0,0.003868,0.004481,0.01945,0.00609,0.003915,0.004929,0.002566,0.00887,0.007723,0.008249,0.002905,0.003121,0.008768,0.012847,0.012644,0.035737,0.024971,0.056347,0.062618,0.077755,0.06939,0.030035,0.033007,0.031072,0.03946,0.034932,0.054897,0.069833,0.077115,0.10596,0.098016,0.096802,0.30539
República Dominicana,0.465911,0.494957,0.431861,0.335471,0.2868,0.294368,0.330176,0.25264,0.520257,7.045301,6.379569,5.257061,5.385274,4.737619,3.248063,3.269196,3.986322,3.795788,4.097132,5.312088,5.524407,4.528779,5.807287,5.675878,4.634382,4.900892,5.605475,5.779289,5.090637,3.044935,4.007335,6.051159,7.843666,7.646611,10.712066,13.616134,10.082,13.921074,9.412835,26.964369,19.018564
