País,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023
República Guinea,0.018261,0.003943,0.001403,0.004783,0.003942,0.019961,0.007953,0.007115,0.012782,0,0.002544,0,0,0,0,0,0,0,0,0,0,0.001967,0.005743,0.003156,0.003895,0.012892,0.008253,0.018495,0.003374,0.000681,0.002861,0.015291,0.009287,0.005143,0.004305,0.002674,0.000115,0.003771,0.010209,0.041758,0.043824
Reunión,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0.000054,0.000375,0.00007,0,0.000059,0,0.000036,0.00025,0.000134,0.000745,0.000836,0.00079,0,0.001275,0.000076,0.000106,0.000124,0.000562,0.000513
Ruanda,0.000745,0,0,0,0,0,0,0,0,0.001713,0.001963,0,0.000022,0.000491,0,0,0.001426,0,0,0,0.000311,0.000569,0.000306,0.000648,0,0.001054,0,0.00068,0.000065,0,0.000697,0,0,0,0.00299,0,0.0001,0,0,0.000781,0.002754
Rumanía,0.095185,0.054632,0.066239,0.029753,0.032769,0.045927,0.032414,0.042296,0.078687,0.016439,0.011893,0.011743,0.005977,0.015929,0.023963,0.025765,0.019019,0.018563,0.025156,0.020876,0.019622,0.024177,0.019639,0.025673,0.031211,0.037564,0.02123,0.025403,0.016289,0.025599,0.020909,0.043035,0.044015,0.046771,0.037546,0.033764,0.033935,0.047807,0.030712,0.029177,0.025566
Samoa,0.000117,0,0.000277,0.001297,0,0.000953,0.000918,0.000199,0.000196,0,0.001892,0,0,0.00096,0.000817,0.000337,0.00014,0,0.001074,0.000151,0,0,0.000241,0.000774,0.001637,0.008559,0.012748,0.003857,0,0.00002,0.000345,0,0.000259,0,0.000171,0,0.000167,0,0,0,0
San Cristobal y Nevis,0.002154,0.005027,0.005034,0.004811,0.001231,0.001944,0.005646,0.001636,0.015343,0.004951,0.003522,0.006609,0.007912,0.012655,0.013251,0.013644,0.05742,0.04211,0.013068,0.013308,0.006734,0.005339,0.011919,0.018317,0.009065,0.00142,0.003914,0.008918,0.009504,0.004401,0.009768,0.005146,0.002988,0.004236,0.005539,0.003739,0.005085,0.009684,0.02373,0.022323,0.029167
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Vincente y Granadinas,0.002174,0.00283,0.004001,0.001148,0.002705,0.004604,0.002282,0.004383,0.013967,0.001906,0.002312,0.002557,0.003011,0.002632,0.002658,0.003511,0.002113,0.002724,0.003432,0.002468,0.002587,0.002119,0.002853,0.000921,0.000542,0.002444,0.000986,0.000799,0.001921,0.000066,0.000161,0.000414,0.000155,0.00007,0.000308,0.000374,0.000059,0.000561,0.000672,0.000453,0.001067
Santa Lucía,0.002949,0.001013,0.000156,0.000053,0.001151,0.001351,0,0.001282,0.001294,0,0,0.000147,0.000641,0.001618,0.002011,0.002731,0.003758,0.001871,0.005945,0.004308,0.00369,0.001457,0.000569,0.00114,0.00098,0.001139,0.001614,0.003724,0.001106,0.001627,0.000088,0.000289,0.000091,0.000216,0.000234,0.004287,0.001893,0.002214,0.000575,0.000398,0.000304
Santo Tomé y Príncipe,0,0,0,0,0,0.000368,0.001209,0.0015,0.002274,0.000598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593,0,0,0,0,0,0,0
Senegal,0.003042,0.00132,0.00146,0.00104,0.001184,0,0.000847,0.00795,0.009677,0.000694,0.000204,0.001025,0.00516,0.003105,0.00358,0.00294,0.004291,0.005633,0.002973,0.00567,0.000727,0.003035,0.005774,0.004121,0.011566,0.007359,0.00567,0.008307,0.083555,0.004004,0.008061,0.007488,0.007273,0.016177,0.0076,0.010194,0.052754,0.023986,0.022793,0.091823,0.184604
Serbia,0.001853,0.003433,0.003373,0.00602,0.006756,0.006325,0.007363,0.002919,0.00567,0.002277,0.003013,0.002261,0.003015,0.002414,0.001519,0.002006,0.007583,0.008171,0.004067,0.007151,0.010217,0.00763,0.009234,0.015475,0.008977,0.007864,0.006018,0.015655,0.015399,0.013488,0.012608,0.015631,0.011889,0.010027,0.0078,0.008809,0.009549,0.007719,0.014418,0.01773,0.009173
Sierra Leona,0.000298,0,0.000934,0.003535,0.002161,0,0,0,0.00201,0,0,0,0.000967,0.000771,0.000203,0.000212,0.001404,0.000931,0.000816,0.000233,0.001719,0.000252,0.000262,0,0.002218,0.000516,0.001184,0.001892,0.000537,0.002871,0.001696,0.000932,0.000358,0.000713,0,0.000908,0.004896,0.000407,0.008102,0.008672,0.00086
Singapur,0.019121,0.045209,0.015673,0.007368,0.01953,0.046569,0.069422,0.127382,0.094391,0.056202,0.049368,0.100726,0.040269,0.041615,0.051115,0.067462,0.062286,0.059836,0.066129,0.067675,0.06342,0.073269,0.044701,0.004133,0.011634,0.002775,0.00362,0.005053,0.003298,0.002863,0.003023,0.002897,0.002677,0.012365,0.012267,0.013658,0.00586,0.004753,0.00614,0.007817,0.004893
Siria,0.000937,0.001615,0.000079,0,0.000468,0.004385,0,0,0.000286,0,0.001898,0.00095,0.000949,0.001442,0.000573,0,0.000483,0.000947,0.002461,0,0,0,0,0,0,0,0,0,0,0.000352,0.000379,0,0.000379,0,0.00035,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudáfrica,0.037749,0.018669,0.018261,0.026709,0.031178,0.020704,0.020498,0.023376,0.083106,0.008506,0.006314,0.009126,0.01033,0.02387,0.021764,0.014032,0.011588,0.015833,0.015168,0.011295,0.018712,0.019413,0.011038,0.010161,0.010625,0.013439,0.029656,0.018752,0.014742,0.013707,0.018035,0.010749,0.01162,0.012362,0.014083,0.016249,0.015321,0.022923,0.0224,0.017657,0.019148
Sudán,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298,0.000307,0.000321,0,0,0.000305,0.00032,0.000998,0.000295,0.004355,0.000229,0.003121,0.00165,0.006717,0.007923,0.006199,0.001715,0.005329,0.005025,0.003844,0.003039,0.001422,0.00061,0.00033,0.000581,0.007974,0.021101,0.007736
Suecia,0.097378,0.076133,0.084521,0.174265,0.103785,0.080539,0.060782,0.055865,0.067541,0.019635,0.029425,0.019082,0.018064,0.038803,0.027877,0.034506,0.029086,0.025345,0.039117,0.036317,0.037088,0.042294,0.04295,0.044578,0.048171,0.032962,0.063551,0.053075,0.053772,0.04844,0.08431,0.084242,0.068277,0.085411,0.095092,0.111732,0.12309,0.13942,0.134054,0.150022,0.198833
Suiza,0.455146,0.448899,0.403743,0.412847,0.291054,0.354736,0.294008,0.261431,0.685834,1.802003,1.751775,1.908528,1.689558,1.708555,1.615763,1.633962,1.553221,2.024816,2.103377,2.884482,1.988797,2.331409,2.452753,2.368193,2.4024,2.53906,2.584633,2.713144,2.759483,2.954558,3.238523,4.066009,4.183501,4.020693,4.41418,4.769379,4.490564,4.170381,2.332298,2.594817,2.449962
Surinam,0.004244,0.006022,0.002951,0,0.007184,0.000394,0.001066,0.003795,0.000992,0.002492,0.000271,0.001177,0.007006,0.003941,0.006558,0.025524,0.006397,0.015101,0.007078,0.005854,0.009579,0.007317,0.021196,0.030956,0.014172,0.008503,0.020924,0.028235,0.027304,0.025935,0.022976,0.026432,0.022546,0.01858,0.019142,0.029004,0.011462,0.028614,0.02264,0.01912,0.018556
Swazilandia,0,0.002637,0.005613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tailandia,0.011071,0.009777,0.04274,0.06271,0.058195,0.052524,0.05613,0.136352,0.290857,0.073533,0.029765,0.016193,0.033164,0.013502,0.025006,0.031586,0.023121,0.014638,0.014575,0.027497,0.007069,0.017831,0.009285,0.01704,0.006533,0.012692,0.008751,0.013553,0.00222,0.005395,0.006236,0.005764,0.010944,0.017453,0.018766,0.0212,0.020481,0.018472,0.021595,0.028402,0.01234
Taiwan,0.010322,0.006974,0.006427,0.007766,0.002083,0.010548,0.002632,0.003622,0.004327,0.002002,0.000762,0.001633,0.001958,0.001419,0.002708,0.00178,0.00163,0.013407,0.003699,0.002549,0.003308,0.001747,0.000184,0,0.000162,0,0,0,0,0,0,0,0,0.000034,0,0.001642,0,0.003889,0,0,0.000008
Tanzania,0.000525,0.001635,0.001962,0.000466,0.000426,0.000181,0.001006,0.002692,0.030008,0.000245,0.00006,0.000097,0.002394,0,0,0.001918,0.005754,0.009712,0.003572,0.002401,0,0.000136,0.001959,0.003711,0.002561,0.002628,0.002382,0.001308,0.000869,0.001069,0.002892,0.000899,0.001295,0.00231,0,0.001981,0.000155,0.003097,0.004483,0.013161,0.007974
Tayikistán,0,0.000124,0,0.000734,0.000375,0.000231,0.000229,0.000385,0.001035,0.000466,0.000561,0,0.000217,0.000472,0.000726,0.000544,0,0,0.000178,0.00051,0.000023,0.000024,0.000584,0,0,0,0,0.001251,0,0,0,0,0,0,0,0,0,0.001853,0.00106,0.002647,0.001101
Timor Oriental,0,0,0,0,0,0,0,0,0,0,0.000221,0,0,0,0,0,0.000178,0.000056,0,0,0,0,0,0,0,0,0,0,0,0,0.000709,0,0,0,0.000145,0,0,0.00016,0,0,0
Togo,0.000184,0.000475,0.016061,0.013653,0.005264,0.014698,0.003719,0.002713,0.046492,0.001863,0.001154,0.002352,0.003057,0.004048,0.00277,0.004445,0.003191,0.002152,0.003196,0.004955,0.005218,0.001144,0.001005,0.000161,0.00062,0.005249,0.001724,0.007156,0.002312,0.00077,0.001839,0.001197,0.005625,0.0064,0.005378,0.022395,0.01394,0.006085,0.014672,0.004905,0.009748
Trinidad y Tobago,0.011666,0.024502,0.012497,0.023221,0.036376,0.073155,0.048906,0.044701,0.096319,0.019587,0.025284,0.02459,0.015617,0.02117,0.030179,0.036195,0.03336,0.012171,0.012577,0.019024,0.011789,0.013156,0.005417,0.008944,0.004231,0.008352,0.01326,0.009683,0.009325,0.007463,0.053772,0.060341,0.309108,0.185666,0.011041,0.013028,0.012985,0.011538,0.017043,0.018447,0.013398
Túnez,0.000235,0.00006,0,0,0,0,0,0.000122,0,0,0.0001,0.000195,0.000221,0.001455,0,0.00223,0,0,0.000742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000301,0.00015,0.000599,0.000398,0,0.00047,0.000186,0.000182,0,0,0,0,0,0,0,0,0,0
Turquía,0.025578,0.043818,0.102228,0.10583,0.159719,0.107123,0.109377,0.056102,0.058494,0.03091,0.050825,0.035995,0.044937,0.048875,0.04917,0.052231,0.037066,0.056594,0.080251,0.090286,0.070524,0.057271,0.061194,0.048153,0.060932,0.043714,0.049368,0.065859,0.092045,0.054299,0.039036,0.046934,0.07554,0.060001,0.072975,0.065067,0.069397,0.076566,0.082793,0.084076,0.09256
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ucrania,0.025234,0.035528,0.016563,0.038293,0.018181,0.020771,0.02321,0.024965,0.04131,0.017428,0.014921,0.006505,0.013363,0.010003,0.01108,0.015967,0.013798,0.022211,0.026667,0.015782,0.017772,0.009651,0.015269,0.024208,0.036757,0.02092,0.0326,0.031249,0.047018,0.050311,0.041191,0.055777,0.053959,0.071821,0.033109,0.028229,0.031694,0,0.000738,0,0
Uganda,0.000047,0.001643,0.002089,0.000577,0.000314,0.001395,0.000035,0.000491,0.002164,0.002197,0.00226,0.000547,0.000852,0.000736,0.001776,0,0.001194,0.001091,0.002911,0.003338,0.000168,0.000134,0.00327,0.00759,0.001125,0,0,0.00133,0.00164,0.000117,0,0.003773,0.001023,0.004434,0.001518,0.001319,0.000663,0.000299,0.001791,0.001535,0.000479
Uruguay,0.257623,0.236737,0.238168,0.179441,0.174638,0.149942,0.143479,0.126538,0.279786,1.976389,1.763618,1.582278,1.350942,1.496787,1.233741,1.751141,1.725421,1.917936,2.284285,2.194386,1.876065,2.37769,2.602701,3.06582,2.562238,2.625893,2.309033,2.52031,2.560884,2.520521,2.944458,2.948098,2.980927,4.364199,4.862575,5.074064,3.156022,3.605362,1.637386,1.920464,1.686452
Uzbekistán,0.01113,0.001261,0,0,0.000281,0.000276,0.003898,0.000146,0.001012,0.00004,0.003186,0.00041,0.000023,0,0.000269,0,0.000104,0.000683,0,0.0089,0.001531,0.004882,0.002165,0.013813,0.000035,0.000663,0.000706,0.002334,0.003669,0.008198,0.004246,0.00273,0.002821,0.003852,0.008823,0.026542,0.010054,0.025797,0.023441,0.019996,0.01079
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0.000327,0.000214,0,0,0.000626,0,0,0.004428,0.001288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0.331422,0.451244,0.477276,0.558954,0.206608,0.134516,0.204198,0.259463,0.736179,0.156353,0.146489,0.056718,0.008647,0.024455,0.026664,0.032237,0.008915,0.005976,0.021507,0.020347,0.003568,0.004576,0.00077,0.000104,0.000722,0.00084,0.001543,0.004285,0.002456,0.001113,0.001228,0.003265,0.001058,0.004048,0.009664,0.020759,0.012956,0.026325,0.140693,0.132456,0.074889
Vietnam,0,0,0,0.000594,0.000919,0,0,0.002287,0.002876,0,0,0,0,0.000791,0.000303,0.000263,0.00074,0.000056,0.000884,0.001181,0.001255,0.000487,0.001416,0.006348,0.001264,0.00106,0.00057,0.000384,0.000734,0.000783,0,0,0.00045,0.000297,0.000458,0.001383,0.000705,0,0,0.000369,0.001502
Yemen,0.001101,0.005625,0.000468,0.001708,0.004118,0.002676,0.002457,0.001851,0.004555,0,0,0.000904,0.000807,0.000102,0,0.000344,0,0,0.00499,0.011878,0.003891,0.009717,0.002414,0.00149,0.005167,0.001167,0,0.001015,0.000715,0,0,0.003753,0.006473,0.006996,0,0.001235,0,0.002404,0.003297,0,0
Zambia,0.002049,0.002684,0.000219,0.000159,0.000547,0.000732,0,0,0,0.000509,0.000381,0.000766,0.000507,0.000861,0.000196,0.000197,0.004717,0.001886,0.000191,0,0,0.000821,0,0.000096,0,0,0,0.000216,0.000356,0,0,0,0,0.001526,0.000161,0,0,0.000532,0,0.000138,0.000249
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198,0.000557,0.00006,0,0,0.000098,0.000188,0,0.004559,0,0,0,0.000319,0,0,0,0,0,0,0,0,0.000139,0,0.000329,0,0,0,0.001101
No Identificado,77.485768,86.4646,91.807311,55.212861,112.493808,52.541527,135.830896,196.93921,26.320295,162.557401,136.672828,186.094542,131.926575,152.167718,144.649236,186.451393,142.039402,155.182596,180.054823,223.382462,191.750438,158.704192,193.613362,208.066122,138.4789,137.975751,115.757339,141.032202,120.061393,96.731947,107.966099,123.422674,103.585404,143.39939,140.65254,186.183643,142.019948,161.399381,155.884145,200.292553,166.15168
