PERIODO,CVE_ENT,ENTIDAD,VALOR_USD
2004-01-01,15,Estado de México,282174744
2004-01-01,16,Michoacán,474708512
2004-01-01,17,Morelos,90713322
2004-01-01,18,Nayarit,53493902
2004-01-01,19,Nuevo León,57909938
2004-01-01,20,Oaxaca,185442151
2004-01-01,21,Puebla,201247551
2004-01-01,22,Querétaro,68161088
2004-01-01,23,Quintana Roo,13558859
2004-01-01,24,San Luis Potosí,94822251
2004-01-01,25,Sinaloa,80152023
2004-01-01,26,Sonora,35775430
2004-01-01,27,Tabasco,20218367
2004-01-01,28,Tamaulipas,57986562
2004-01-01,29,Tlaxcala,35440877
2004-01-01,30,Veracruz,233082550
2004-01-01,31,Yucatán,15888735
2004-01-01,32,Zacatecas,101059951
2004-04-01,1,Aguascalientes,82321918
2004-04-01,2,Baja California,43677391
2004-04-01,3,Baja California Sur,4940045
2004-04-01,4,Campeche,14047975
2004-04-01,5,Coahuila,45390288
2004-04-01,6,Colima,33803616
2004-04-01,7,Chiapas,162049972
2004-04-01,8,Chihuahua,76373819
2004-04-01,9,Ciudad de México,251225864
2004-04-01,10,Durango,87509399
2004-04-01,11,Guanajuato,483534595
2004-04-01,12,Guerrero,271167829
2004-04-01,13,Hidalgo,204310753
2004-04-01,14,Jalisco,390997181
2004-04-01,15,Estado de México,382499286
2004-04-01,16,Michoacán,630287460
2004-04-01,17,Morelos,114630791
2004-04-01,18,Nayarit,70016396
2004-04-01,19,Nuevo León,80149377
2004-04-01,20,Oaxaca,258852212
2004-04-01,21,Puebla,272226049
2004-04-01,22,Querétaro,98410639
2004-04-01,23,Quintana Roo,18223823
2004-04-01,24,San Luis Potosí,127623809
2004-04-01,25,Sinaloa,100667710
2004-04-01,26,Sonora,45766526
2004-04-01,27,Tabasco,27802826
2004-04-01,28,Tamaulipas,77591848
2004-04-01,29,Tlaxcala,47041478
2004-04-01,30,Veracruz,312290881
2004-04-01,31,Yucatán,19570443
2004-04-01,32,Zacatecas,133635479
2004-07-01,1,Aguascalientes,82973286
2004-07-01,2,Baja California,45677204
2004-07-01,3,Baja California Sur,4949111
2004-07-01,4,Campeche,14938981
2004-07-01,5,Coahuila,47834245
2004-07-01,6,Colima,34331093
2004-07-01,7,Chiapas,166651033
2004-07-01,8,Chihuahua,77639047
2004-07-01,9,Ciudad de México,247425263
2004-07-01,10,Durango,88886368
2004-07-01,11,Guanajuato,484580595
2004-07-01,12,Guerrero,266850313
2004-07-01,13,Hidalgo,206173270
2004-07-01,14,Jalisco,383635120
2004-07-01,15,Estado de México,406407890
2004-07-01,16,Michoacán,615119040
2004-07-01,17,Morelos,116514637
2004-07-01,18,Nayarit,72757171
2004-07-01,19,Nuevo León,81896209
2004-07-01,20,Oaxaca,269056272
2004-07-01,21,Puebla,276814275
2004-07-01,22,Querétaro,100815612
2004-07-01,23,Quintana Roo,18193795
2004-07-01,24,San Luis Potosí,132415618
2004-07-01,25,Sinaloa,100354459
2004-07-01,26,Sonora,46122701
2004-07-01,27,Tabasco,29571004
2004-07-01,28,Tamaulipas,78546752
2004-07-01,29,Tlaxcala,56340942
2004-07-01,30,Veracruz,322821534
2004-07-01,31,Yucatán,20373575
2004-07-01,32,Zacatecas,131358170
2004-10-01,1,Aguascalientes,75995030
2004-10-01,2,Baja California,41218827
2004-10-01,3,Baja California Sur,4202390
2004-10-01,4,Campeche,13923963
2004-10-01,5,Coahuila,52089796
2004-10-01,6,Colima,36664217
2004-10-01,7,Chiapas,150730233
2004-10-01,8,Chihuahua,68361163
2004-10-01,9,Ciudad de México,235643658
2004-10-01,10,Durango,86180382
2004-10-01,11,Guanajuato,406838626
2004-10-01,12,Guerrero,259944532
2004-10-01,13,Hidalgo,176741566
2004-10-01,14,Jalisco,373351157
2004-10-01,15,Estado de México,374706377
2004-10-01,16,Michoacán,561288240
