Estado,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023,Abr-Jun 2023,Jul-Sep 2023,Oct-Dic 2023
Georgia,153.676744,204.09317,160.6495,157.077369,129.284456,158.649739,166.898232,164.205218,195.209186,248.645579,247.703121,230.401522,234.353354,253.56138,249.757153,247.205714,261.201181,287.617568,273.8043,283.249074,240.666322,338.108799,303.169686,317.725375,288.866091,358.683849,309.042131,292.02979,253.545094,288.903232,292.576988,297.909216,288.743847,407.684997,380.93907,355.068259,326.231974,396.842231,507.039709,403.338615,457.13817,542.262562,674.605964,601.745621
Hawaii,3.315527,3.376702,2.87589,2.546441,1.887372,2.024039,2.047711,2.549173,5.515399,6.040955,6.657361,7.913182,6.915306,3.135516,7.372095,7.520863,7.401124,8.286727,8.363876,8.760249,7.379232,9.759098,9.042293,9.704719,8.848335,10.381283,7.833772,7.893722,8.037721,7.881426,8.46023,8.135764,8.541367,11.067542,12.351952,12.928158,11.644097,14.096632,14.800673,17.734581,59.009815,71.552036,63.296369,60.566179
Idaho,19.133225,29.27008,27.114834,25.936752,19.935287,24.546689,27.591762,25.32568,16.515216,25.674821,28.397876,24.517695,20.326522,42.345207,30.533368,27.887907,22.181751,30.464091,32.859548,32.908432,23.933903,38.395939,37.577114,38.981033,27.050607,41.155361,48.933954,43.856894,34.786315,45.86119,49.271931,47.234672,39.511363,59.441076,64.698054,62.546985,42.596893,65.729885,74.695538,71.090192,44.456278,63.375112,96.049981,86.838137
Illinois,259.211669,291.064098,239.410865,296.802968,276.487635,261.818254,251.869083,282.800074,295.842193,311.091332,319.928392,309.064973,332.251153,331.878655,332.047178,342.267141,344.472114,369.038295,371.798906,377.072606,308.756958,414.74915,372.666426,404.145813,370.705084,419.184247,384.979072,329.51,339.310758,308.936114,342.201081,348.47138,357.888382,412.726723,426.260854,448.801994,402.645552,448.651066,486.989967,492.390766,423.931968,501.69298,603.100034,546.675488
Indiana,56.093548,77.839652,67.205154,64.270773,54.850464,56.703075,68.103635,64.10041,56.674546,66.592583,69.092075,63.251246,65.708781,97.499402,73.055581,73.239317,75.657466,81.351889,82.455799,82.46696,73.787679,99.598876,92.393741,95.35984,82.436842,99.837331,106.373115,97.551058,91.369403,93.42003,109.051282,105.303161,111.432317,145.583625,156.514327,157.779878,131.567078,165.222193,172.006524,168.224917,130.193737,158.711893,221.189081,183.916455
Iowa,21.464725,26.442631,27.856298,26.811388,22.476706,24.213216,29.083207,28.402112,24.089043,28.888159,32.931364,29.668653,29.042045,38.193422,34.120982,34.560767,31.248346,35.03343,36.603016,36.88569,30.930607,43.504632,41.426629,42.235685,35.774371,43.549568,50.327797,44.201987,39.987758,44.031561,52.385623,48.2355,43.74594,56.535545,64.680061,61.126936,46.738212,63.177854,73.087899,69.189269,97.356784,127.107981,142.505637,127.230239
Kansas,39.895322,47.294045,43.958617,44.126241,37.649058,41.50058,44.257187,41.388063,40.16206,45.149865,46.769253,44.32766,42.720807,50.840745,46.813697,48.470333,47.22766,52.565241,52.634709,54.543587,47.365565,62.045387,56.253468,59.421718,53.278371,64.705402,67.72075,66.013858,64.189891,70.59939,73.540233,72.778543,68.667313,86.681372,87.964339,91.11738,77.105359,97.838163,103.915425,101.900364,102.926324,126.614646,128.788927,117.496728
Kentucky,30.570408,40.414036,42.884543,43.846911,29.627948,33.830674,46.571995,42.771218,29.625173,37.305162,47.289627,40.447754,32.490172,54.536046,46.013029,45.473673,39.734226,45.602157,52.396032,53.73309,38.297131,53.098281,55.640182,58.175659,42.379313,55.453055,70.865407,63.568636,48.303366,53.315676,65.737062,62.043494,50.264105,67.456089,77.050509,76.786191,59.685948,75.619417,85.573447,84.028351,59.884125,79.200597,132.289707,111.823476
Luisiana,58.049193,71.809878,64.791622,65.849175,50.36252,65.199998,65.606054,68.414056,79.649782,99.182267,94.80392,92.781841,76.779514,64.456694,88.850548,94.860418,89.003463,102.298292,101.665735,109.059844,83.390448,123.854607,112.86594,121.419866,107.805294,130.320546,96.166771,99.112027,93.273684,105.445847,88.402361,103.059851,104.510219,137.397377,111.81575,148.334432,130.782613,158.53409,129.499453,141.731221,120.605173,145.353563,109.882541,106.495032
Maine,1.918004,2.892067,1.230947,0.618678,0.398869,0.682601,1.529621,0.694042,1.066792,1.648478,8.728254,6.079662,1.769124,1.03091,2.245081,1.864097,2.2176,1.926234,2.346407,2.050253,2.287192,2.171254,2.439036,2.216695,1.950612,2.37522,6.6854,6.023207,2.836155,4.020399,10.380149,5.233462,3.59409,4.659532,14.706147,7.44364,3.798158,6.633455,15.890814,9.607399,20.226625,25.164094,22.653175,19.004386
