Municipio,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023,Abr-Jun 2023,Jul-Sep 2023,Oct-Dic 2023,Ene-Mar 2024,Abr-Jun 2024
  ⚬ Santo Domingo Zanatepec,0.204821,0.220263,0.179894,0.181819,0.200464,0.228823,0.17939,0.173169,0.183039,0.200829,0.189375,0.194141,0.230609,0.213004,0.203344,0.197919,0.20651,0.251867,0.317361,0.298003,0.188333,0.225365,0.257936,0.210858,0.139121,0.224531,0.270993,0.223699,0.21505,0.259351,0.376253,0.305949,0.258372,0.322627,0.410488,0.360362,0.331927,0.479836,0.349442,0.411948,0.251169,0.229847,0.403218,0.476755,0.489722,0.441299
  ⚬ Santo Tomás Jalieza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,0.006973,0.003931,0.035384,0.003065,0.003129,0.011022,0.005546,0.002944,0.016205,0.009778,0.010468,0.023715,0.042764,0,0,0,0,0,0,0,0
  ⚬ Santo Tomás Mazaltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104,0,0,0.001929,0,0.003222,0.002576,0.00931,0.000052,0.012446,0.002815,0.007125,0.01305,0.020422,0.011361,0.021867,0.029877,0,0,0,0,0,0,0,0
  ⚬ Santo Tomás Ocotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314,0.002668,0.010412,0.000067,0.01421,0.023471,0.00386,0.006671,0.005321,0.004183,0.014881,0.006283,0.007663,0.017982,0.008849,0.031989,0.00738,0.000563,0.011659,0,0,0,0.008006,0.014338
  ⚬ Santo Tomás Tamazulapan,0.001524,0.000841,0,0.002198,0,0.000355,0,0.002137,0.001655,0.002122,0.00353,0.00104,0.000679,0.001187,0.00205,0.000917,0,0,0,0,0,0.001244,0.002868,0.00633,0.005779,0.010829,0.01135,0.018321,0.029976,0.020407,0.046145,0.026799,0.006273,0.016293,0.011032,0.010307,0.012054,0.010275,0.008545,0.004714,0.008055,0.006124,0.000139,0.013281,0.005789,0.002593
  ⚬ Santos Reyes Nopala,1.153725,1.784342,1.865311,1.790471,2.532278,3.049675,3.115867,3.01899,3.451238,2.998193,3.833209,3.412659,4.370969,4.286655,4.338505,4.77338,5.039909,5.1482,5.581304,6.084357,6.690227,7.848059,7.758697,8.370811,8.789899,9.068589,9.033894,8.821469,8.772201,6.053048,7.419027,10.415328,11.444448,13.861719,14.455723,15.526278,16.446931,18.280182,19.257373,19.657488,20.139852,22.540944,25.154132,24.833169,24.335405,27.436121
  ⚬ Santos Reyes Pápalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006736,0.011664,0.007933,0.01933,0.004862,0.023184,0.020628,0.011516,0.034074,0.026571,0.039871,0.045877,0.057076,0,0,0,0,0,0,0,0
  ⚬ Santos Reyes Tepejillo,0.220674,0.284896,0.269982,0.285499,0.277216,0.316215,0.318911,0.239019,0.245056,0.080718,0.197697,0.257197,0.162213,0,0,0,0,0,0.015753,0.105971,0.123575,0.126281,0.095722,0.076757,0.087215,0.075939,0.067598,0.06458,0.077771,0.109573,0.105635,0.119317,0.116766,0.125932,0.134258,0.151886,0.031247,0.017614,0,0,0.001205,0,0,0,0,0
  ⚬ Santos Reyes Yucuná,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  ⚬ Silacayoápam,1.138928,1.248541,1.131605,1.129446,1.085212,1.118783,1.035259,1.385081,1.160259,1.073046,1.171977,1.169404,1.164561,1.163737,1.168363,1.268291,1.236027,1.37946,1.220187,1.452582,1.213893,1.474802,1.027544,1.516263,1.123809,1.30258,1.543035,1.48118,1.603573,1.898869,1.911822,2.013374,3.098937,2.80027,2.548987,2.933632,2.595735,2.744363,2.438647,2.619148,2.18226,1.951331,1.988488,1.874745,1.805923,1.960065
